ut labore et dolore magna aliqua	Neque viverra justo nec ultrices dui sapien eget. Sit amet risus nullam eget felis eget nunc lobortis.	Amsterdam	52.370216	4.895168	room-2.jpg	room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	false	1	Hotel	8	9	28207	Air conditioning;Laptop friendly workspace;Baby seat;Washer	Judy	Chavez	craddagrizouxu-6960@mail.com	avatar-8.jpg	Pro	48.114536	2.886297
ut labore et dolore magna aliqua	 Lacus suspendisse faucibus interdum posuere. Ut morbi tincidunt augue interdum.	Cologne	50.938361	6.959974	room-7.jpg	room-1-photo1.jpg;room-1-photo2.jpg;room-2-photo1.jpg;room-2-photo2.jpg;room-3-photo1.jpg;room-3-photo2.jpg;room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg	true	true	3.8	House	4	7	17415	Air conditioning;Laptop friendly workspace;Baby seat;Washer	Daniel	Kelly	zeuhummewoima-7270@mail.com	avatar-7.jpg	Default	50.986672	9.409159
ut labore et dolore magna aliqua	Quisque non tellus orci ac. Euismod in pellentesque massa placerat. In massa tempor nec feugiat nisl.	Cologne	50.938361	6.959974	room-5.jpg	room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	false	1.3	House	6	7	33469	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Daniel	Kelly	zeuhummewoima-7270@mail.com	avatar-5.jpg	Default	48.406499	5.424921
duis aute irure dolor in reprehenderit	 Lacus suspendisse faucibus interdum posuere. Ut morbi tincidunt augue interdum.	Amsterdam	52.370216	4.895168	room-3.jpg	room-3-photo1.jpg;room-3-photo2.jpg;room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	true	1.4	Room	1	5	95998	Washer;Towels;Fridge	Daniel	Kelly	mehoilleutubrei-4332@mail.com	avatar-2.jpg	Default	48.402939	4.322421
sed do eiusmod tempor incididunt	Volutpat odio facilisis mauris sit amet massa. Purus faucibus ornare suspendisse sed nisi lacus sed viverra.	Hamburg	53.550341	10.000654	room-3.jpg	room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	true	1.4	Apartment	5	8	81995	Laptop friendly workspace;Baby seat;Washer	Ray	Anderson	mehoilleutubrei-4332@mail.com	avatar-3.jpg	Pro	49.377449	6.492972
ut enim ad minim veniam	 Lacus suspendisse faucibus interdum posuere. Ut morbi tincidunt augue interdum.	Hamburg	53.550341	10.000654	room-8.jpg	room-2-photo1.jpg;room-2-photo2.jpg;room-3-photo1.jpg;room-3-photo2.jpg;room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg	true	false	3.1	Hotel	6	7	68300	Washer;Towels;Fridge	Daniel	Kelly	quaucroibreweibroi-2398@mail.com	avatar-7.jpg	Default	48.277367	8.587773
quis nostrud exercitation ullamco laboris nisi 	Ultricies integer quis auctor elit. In est ante in nibh mauris cursus mattis molestie.	Brussels	50.846557	4.351697	room-3.jpg	room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	false	3.8	House	7	6	1132	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Daniel	Kelly	sasoxefrauteu-3265@mail.com	avatar-2.jpg	Pro	49.296601	9.109697
duis aute irure dolor in reprehenderit	Quisque non tellus orci ac. Euismod in pellentesque massa placerat. In massa tempor nec feugiat nisl.	Amsterdam	52.370216	4.895168	room-5.jpg	room-3-photo1.jpg;room-3-photo2.jpg;room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	false	3.9	Room	1	5	76105	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Mark	Davis	quaucroibreweibroi-2398@mail.com	avatar-5.jpg	Pro	50.696124	3.264683
excepteur sint occaecat cupidatat non proident	Odio pellentesque diam volutpat commodo sed egestas egestas fringilla phasellus. Feugiat vivamus at augue eget arcu dictum varius duis.	Cologne	50.938361	6.959974	room-5.jpg	room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	true	2.3	Room	1	8	83774	Fridge	Vanessa	Miller	mehoilleutubrei-4332@mail.com	avatar-2.jpg	Default	49.668893	7.049223
sed do eiusmod tempor incididunt	Neque viverra justo nec ultrices dui sapien eget. Sit amet risus nullam eget felis eget nunc lobortis.	Brussels	50.846557	4.351697	room-7.jpg	room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	true	1.6	Hotel	3	3	66619	Towels;Fridge	Judy	Chavez	sasoxefrauteu-3265@mail.com	avatar-5.jpg	Default	50.198913	5.946785
sed do eiusmod tempor incididunt	Ut consequat semper viverra nam libero justo. Ac tincidunt vitae semper quis lectus nulla at.	Brussels	50.846557	4.351697	room-2.jpg	room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	false	2	Room	1	7	32944	Baby seat;Washer;Towels;Fridge	Mark	Davis	hifoprobreva-4771@mail.com	avatar-6.jpg	Default	48.738077	6.143866
duis aute irure dolor in reprehenderit	Egestas maecenas pharetra convallis posuere morbi. Aliquet bibendum enim facilisis gravida neque convallis a.	Amsterdam	52.370216	4.895168	room-7.jpg	room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	false	1.5	House	8	5	21902	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Brandon	Freeman	gremmagropegru-7388@mail.com	avatar-6.jpg	Pro	49.361463	8.685675
duis aute irure dolor in reprehenderit	Ultricies integer quis auctor elit. In est ante in nibh mauris cursus mattis molestie.	Brussels	50.846557	4.351697	room-2.jpg	room-4-photo1.jpg;room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	true	1.3	Room	7	4	22383	Towels;Fridge	Christopher	Torres	quaucroibreweibroi-2398@mail.com	avatar-7.jpg	Pro	49.759552	9.472547
ut labore et dolore magna aliqua	Neque viverra justo nec ultrices dui sapien eget. Sit amet risus nullam eget felis eget nunc lobortis.	Paris	48.85661	2.351499	room-7.jpg	room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	true	2.6	Apartment	7	7	4959	Baby seat;Washer;Towels;Fridge	Thomas	Dawson	mijippoddekoi-8627@mail.com	avatar-2.jpg	Pro	49.697168	8.042274
lorem ipsum dolor sit amet	Quisque non tellus orci ac. Euismod in pellentesque massa placerat. In massa tempor nec feugiat nisl.	Cologne	50.938361	6.959974	room-3.jpg	room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	true	false	4	Room	1	5	35762	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Christopher	Torres	sasoxefrauteu-3265@mail.com	avatar-2.jpg	Default	49.157447	8.996205
ut labore et dolore magna aliqua	Volutpat odio facilisis mauris sit amet massa. Purus faucibus ornare suspendisse sed nisi lacus sed viverra.	Cologne	50.938361	6.959974	room-4.jpg	room-4-photo2.jpg;room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	true	2.7	House	5	6	16940	Washer;Towels;Fridge	Brandon	Freeman	mijippoddekoi-8627@mail.com	avatar-8.jpg	Pro	49.777451	6.860458
lorem ipsum dolor sit amet	Neque viverra justo nec ultrices dui sapien eget. Sit amet risus nullam eget felis eget nunc lobortis.	Amsterdam	52.370216	4.895168	room-3.jpg	room-5-photo1.jpg;room-5-photo2.jpg;room-6-photo1.jpg;room-6-photo2.jpg;room-7-photo1.jpg;room-7-photo2.jpg;room-8-photo1.jpg;room-8-photo2.jpg	false	false	2.9	Room	7	3	38667	Air conditioning;Laptop friendly workspace;Baby seat;Washer	Mark	Davis	mijippoddekoi-8627@mail.com	avatar-2.jpg	Default	48.591428	9.339345
